Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
325,2,0.0,1,1,1,111,Lost Customers
1,182,4310.0,4,4,4,444,Best Customers
74,31,1797.24,2,2,4,224,Almost Lost
18,73,1757.55,3,3,4,334,Best Customers
309,17,334.4,1,1,2,112,Lost Customers
35,95,1545.41,3,3,3,333,Best Customers
203,4,89.0,1,1,1,111,Lost Customers
231,58,1079.4,1,3,3,133,Big Spenders
213,13,459.4,1,1,2,112,Lost Customers
22,59,2811.43,3,3,4,334,Best Customers
32,131,6207.67,3,4,4,344,Best Customers
1,19,1168.06,4,2,3,423,Loyal Customers
7,254,6245.53,4,4,4,444,Best Customers
51,129,2662.06,2,4,4,244,Big Spenders
286,10,189.9,1,1,1,111,Lost Customers
2,274,5154.58,4,4,4,444,Best Customers
109,23,552.0,2,2,2,222,Almost Lost
7,85,1313.1,4,3,3,433,Best Customers
290,23,320.69,1,2,2,122,Almost Lost
3,11,168.9,4,1,1,411,Loyal Customers
50,167,3545.69,2,4,4,244,Big Spenders
44,63,1887.96,3,3,4,334,Best Customers
71,52,1298.04,2,3,3,233,Big Spenders
310,14,364.6,1,1,2,112,Lost Customers
24,33,742.9300000000001,3,2,3,323,Loyal Customers
2,18,455.42,4,2,2,422,Loyal Customers
314,77,1628.12,1,3,4,134,Big Spenders
129,219,4008.62,2,4,4,244,Big Spenders
81,41,850.29,2,2,3,223,Almost Lost
21,105,2720.56,3,4,4,344,Best Customers
4,91,1803.96,4,3,4,434,Best Customers
184,100,1839.31,1,3,4,134,Big Spenders
28,30,566.16,3,2,2,322,Loyal Customers
337,10,401.9,1,1,2,112,Lost Customers
15,100,2780.66,4,3,4,434,Best Customers
79,32,549.84,2,2,2,222,Almost Lost
21,100,460.89,3,3,2,332,Lost Customers
71,64,1582.6000000000001,2,3,3,233,Big Spenders
63,27,1272.48,2,2,3,223,Almost Lost
15,159,2998.28,4,4,4,444,Best Customers
35,126,2409.9,3,4,4,344,Best Customers
45,85,1635.6599999999999,3,3,4,334,Best Customers
118,59,1108.65,2,3,3,233,Big Spenders
302,5,84.3,1,1,1,111,Lost Customers
322,11,225.6,1,1,1,111,Lost Customers
49,6,409.7,3,1,2,312,Loyal Customers
148,54,1710.39,1,3,4,134,Big Spenders
21,108,3280.75,3,4,4,344,Best Customers
49,77,1708.1200000000001,3,3,4,334,Best Customers
32,113,2842.57,3,4,4,344,Best Customers
78,114,11056.93,2,4,4,244,Big Spenders
300,28,681.0799999999999,1,2,3,123,Almost Lost
74,61,1226.88,2,3,3,233,Big Spenders
66,40,694.15,2,2,3,223,Almost Lost
216,18,562.41,1,2,2,122,Almost Lost
23,778,123725.45,3,4,4,344,Best Customers
2,198,3578.8,4,4,4,444,Best Customers
112,34,668.58,2,2,3,223,Almost Lost
63,29,600.39,2,2,2,222,Almost Lost
15,46,806.27,4,3,3,433,Best Customers
95,39,803.5600000000001,2,2,3,223,Almost Lost
0,126,1849.11,4,4,4,444,Best Customers
162,30,1760.96,1,2,4,124,Almost Lost
77,36,777.2,2,2,3,223,Almost Lost
194,30,582.73,1,2,2,122,Almost Lost
11,35,708.37,4,2,3,423,Loyal Customers
25,300,7877.2,3,4,4,344,Best Customers
8,97,3750.4,4,3,4,434,Best Customers
42,11,256.4,3,1,1,311,Loyal Customers
35,240,6416.39,3,4,4,344,Best Customers
42,108,5059.32,3,4,4,344,Best Customers
0,420,13375.87,4,4,4,444,Best Customers
84,54,765.19,2,3,3,233,Big Spenders
79,36,7829.89,2,2,4,224,Almost Lost
99,16,509.01,2,1,2,212,Almost Lost
1,201,4896.66,4,4,4,444,Best Customers
13,98,2906.85,4,3,4,434,Best Customers
366,11,173.55,1,1,1,111,Lost Customers
2,12,172.06,4,1,1,411,Loyal Customers
20,177,5005.46,3,4,4,344,Best Customers
21,4,133.4,3,1,1,311,Loyal Customers
57,58,1002.3100000000001,2,3,3,233,Big Spenders
242,26,476.49,1,2,2,122,Almost Lost
43,22,449.45,3,2,2,322,Loyal Customers
21,191,4067.29,3,4,4,344,Best Customers
155,8,197.88,1,1,1,111,Lost Customers
10,355,8933.52,4,4,4,444,Best Customers
16,23,428.57,4,2,2,422,Loyal Customers
133,43,707.09,2,3,3,233,Big Spenders
52,30,5.684341886080802e-14,2,2,1,221,Almost Lost
72,90,2466.86,2,3,4,234,Big Spenders
43,129,3153.89,3,4,4,344,Best Customers
57,68,1917.78,2,3,4,234,Big Spenders
70,38,947.4,2,2,3,223,Almost Lost
93,35,826.88,2,2,3,223,Almost Lost
1,72,1124.01,4,3,3,433,Best Customers
45,88,1303.63,3,3,3,333,Best Customers
9,29,1212.05,4,2,3,423,Loyal Customers
7,51,733.89,4,3,3,433,Best Customers
142,40,724.0400000000001,2,2,3,223,Almost Lost
1,531,18740.92,4,4,4,444,Best Customers
30,391,6229.48,3,4,4,344,Best Customers
28,179,2848.23,3,4,4,344,Best Customers
16,457,7116.47,4,4,4,444,Best Customers
53,36,723.38,2,2,3,223,Almost Lost
0,264,6546.58,4,4,4,444,Best Customers
22,308,13117.01,3,4,4,344,Best Customers
3,36,680.99,4,2,3,423,Loyal Customers
3,35,477.3,4,2,2,422,Loyal Customers
27,154,3281.63,3,4,4,344,Best Customers
22,218,5590.86,3,4,4,344,Best Customers
16,81,2327.13,4,3,4,434,Best Customers
32,350,4495.27,3,4,4,344,Best Customers
9,55,1298.66,4,3,3,433,Best Customers
335,15,334.93,1,1,2,112,Lost Customers
4,245,5417.93,4,4,4,444,Best Customers
38,26,460.40000000000003,3,2,2,322,Loyal Customers
62,20,263.21000000000004,2,2,1,221,Almost Lost
165,23,416.79,1,2,2,122,Almost Lost
9,84,1139.3500000000001,4,3,3,433,Best Customers
81,14,1043.1,2,1,3,213,Almost Lost
20,23,403.70000000000005,3,2,2,322,Loyal Customers
22,65,4206.27,3,3,4,334,Best Customers
314,160,2089.68,1,4,4,144,Big Spenders
95,147,3723.87,2,4,4,244,Big Spenders
337,1,-1126.0,1,1,1,111,Lost Customers
